X	Y	T
56.25	-117.8	1309
52.49	-112.91	1677
56.16	-118.51	2413
56.16	-118.51	2413
56.16	-118.51	2413
56.16	-118.51	2413
56.25	-117.8	2787
56.25	-117.8	2787
56.25	-117.8	2787
52.49	-112.91	2772
52.49	-112.91	2772
52.49	-112.91	2773
52.49	-112.91	2797
56.16	-118.51	4606
56.16	-118.51	4606
56.16	-118.51	4606
56.16	-118.51	4606
54.8	-110.43	4606
54.8	-110.43	4606
56.23	-117.72	4606
56.23	-117.72	4606
56.23	-117.72	4606
56.23	-117.72	4974
56.18336	-118.4528	4975
56.23	-117.72	4975
56.16	-118.51	2787
52.49	-112.91	2050
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3878
56.23	-117.72	3878
56.16	-118.51	4241
56.18336	-118.4528	4975
53.35	-113.01	228
52.73	-110.58	222
56.22	-118.6	219
52.49	-112.91	2797
52.49	-112.91	224
56.16	-118.51	4241
56.16	-118.51	4241
53.004	-113.05	224
52.49	-112.91	2773
56.16	-118.51	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.16	-118.51	3878
56.16	-118.51	3878
56.16	-118.51	3878
56.16	-118.51	3878
56.16	-118.51	3878
56.23	-117.72	3878
56.23	-117.72	3878
56.16	-118.51	3879
56.16	-118.51	3879
56.16	-118.51	3879
56.22	-118.6	4241
56.22	-118.6	4241
56.22	-118.6	4241
56.23	-117.72	4241
56.23	-117.72	4241
56.16	-118.51	4243
56.16	-118.51	4241
56.16	-118.51	4243
56.22	-118.6	4243
